time,rotation,angle_err0,angle_err
2016-04-07T12.43.03.780,0,0.2945,0.021
2016-04-07T12.43.08.780,0,0.2803,0.0077
2016-04-07T12.43.13.780,0,0.2894,0.0156
2016-04-07T13.01.03.739,0.2,0.2301,0.0535
2016-04-07T13.01.08.739,0.2,0.2321,0.0511
2016-04-07T13.01.13.739,0.2,0.2383,0.0435
2016-04-07T13.05.04.381,180,0.2502,0.2428
2016-04-07T13.05.09.381,180,0.2501,0.2427
2016-04-07T13.05.14.381,180,0.2592,0.2417
2016-04-07T13.17.04.017,0,0.2725,0
2016-04-07T13.17.09.017,0,0.2805,0.0073
2016-04-07T13.17.14.017,0,0.2764,0
